abadejo	abadejos
cristiano	cristiana|cristianos|cristianas
cristo	cristos
crisálida	crisálidas
criterio	criterios
criticar	critícate|criticá|critiquéis|criticadlo|criticaría|criticarás|critícalas|critiquémosle|criticarlos|criticándole|criticasteis|critíquelo|critiquémoste|criticad|critíqueme|criticarme|criticarnos|criticaré|criticaras|criticarle|criticadle|critíquenlos|criticaros|critique|criticadles|criticado|criticases|critíquenlo|criticándome|critica|criticaste|criticados|criticareis|criticaríamos|criticamos|criticasen|critíquese|criticadla|criticó|critiques|criticada|critiquémoslos|criticarán|critican|critíquense|criticadlos|critiquémoos|critícalo|critiquémosla|critiquémonos|critiquémoslo|criticarla|critíquenle|critíquennos|critícales|criticábamos|criticarlo|criticas|criticara|critiqué|criticáis|criticaseis|criticarles|critiquémosles|criticaba|criticare|criticaríais|criticándose|critiqués|criticásemos|criticáremos|criticaren|criticaremos|critiquémoslas|criticarlas|criticarías|criticando|criticándoos|criticaréis|critícale|critiquemos|criticabas|criticará|criticares|critíquela|criticadme|critícalos|critíquenme|critíqueles|criticaran|criticándolo|criticáramos|criticándoles|criticarse|critico|criticás|critícanos|critíquenlas|critíquele|critíquenos|criticándote|criticase|criticaban|critícala|criticándola|critíquelas|critíquelos|criticabais|criticarais|criticándolas|criticándonos|criticándolos|criticaron|criticadas|criticaos|criticarían|critiquen|criticadlas|critíquenles|criticadnos|criticarte|critícame|critíquenla
criticón	criticones|criticona|criticonas
cromado	cromados
cromo	cromos
cromosoma	cromosomas
cromático	cromática|cromáticos|cromáticas
cronista	cronistas
cronología	cronologías
cronológico	cronológica|cronológicas|cronológicos
cronómetro	cronómetros
croqueta	croquetas
croupier	croupiers|croupieres
cruce	cruces
crucero	cruceros
crucial	cruciales
crucificar	crucificó|crucificadle|crucificarme|crucificando|crucifíquenos|crucificarse|crucificándoles|crucifico|crucificada|crucificarais|crucificándolo|crucifícalas|crucificasteis|crucificarás|crucificaremos|crucifiquémoslas|crucifícame|crucifique|crucificara|crucificándonos|crucificándoos|crucifíquenme|crucifiquémoslos|crucifícanos|crucificáis|crucificarte|crucificados|crucificarlos|crucificándolos|crucifíquense|crucifíquenlas|crucifiquémosla|crucifícate|crucificándose|crucificamos|crucifíquenlo|crucificarle|crucificaras|crucifíqueles|crucifiquémoos|crucifiquémosles|crucificarías|crucificarles|crucificases|crucificad|crucificarlas|crucificadnos|crucificará|crucificaréis|crucifícale|crucificabas|crucificares|crucificadlos|crucifiquen|crucificadme|crucifiqué|crucificaría|crucificado|crucifícalos|crucifíquenla|crucificás|crucificarla|crucificadas|crucifícales|crucificaríais|crucifíquenle|crucificasen|crucificaos|crucifíquennos|crucificarían|crucificáramos|crucifiquéis|crucifican|crucifícala|crucifiquemos|crucificareis|crucificándome|crucifiquémonos|crucificaren|crucificándole|crucifíquelas|crucificadlo|crucificase|crucificásemos|crucificándola|crucifíquese|crucificaron|crucificaba|crucifíquenlos|crucifiquémoste|crucifícalo|crucifíquenles|crucifiqués|crucifiquémosle|crucificábamos|crucificándote|crucifíquele|crucificaban|crucificarán|crucifiquémoslo|crucificaros|crucifica|crucificarnos|crucificadlas|crucificarlo|crucificaseis|crucifíqueme|crucificándolas|crucifiques|crucificaré|crucifíquelo|crucificas|crucificáremos|crucificadla|crucificabais|crucificaste|crucificaríamos|crucificare|crucifíquela|crucificadles|crucificá|crucificaran|crucifíquelos
crucifijo	crucifijos
crucifixión	crucifixiones
crucigrama	crucigramas
crudeza	crudezas
crudo	cruda|crudas|crudos
cruel	crueles
crueldad	crueldades
crujido	crujidos
crujir	crújanos|crujirles|crujiéndome|crujiéndoos|crujieseis|crújanlos|crújalos|crujirle|crujirnos|crujiesen|crujieren|crújele|crujiríais|crújeles|crujiréis|crujirte|crujiéndolas|crujíos|crújanme|crujidos|crujirse|crujid|crujirás|crújeme|crújete|crujidla|crujían|crujámosla|crujiere|crujís|crujámonos|crujisteis|crujiéremos|crujiéramos|crújame|crújala|crujirán|crujámoslos|crujieras|crujieses|crujo|crújanla|cruja|crujierais|crujan|crujiéndolo|crují|crujámosle|crujiéndoles|crujía|crujámoos|crujirías|crujirá|crujiéndonos|crujiéndolos|crújanle|crujiera|crujida|crujiría|crújenos|crújales|crujidas|crujidnos|crujas|crujiremos|crujidle|crujiríamos|crújela|crújalas|crújanlas|crujiendo|crujámosles|crujiéndola|crújanse|crujen|crújannos|cruje|crujirme|crujíais|crujiste|crújase|crujió|crujimos|crujidles|crujiéndose|crujiereis|crujamos|crujirlo|crujidlos|crujieran|crujiré|crujámoslo|crújelo|crujidlas|crújelos|crujiese|crújanles|crújalo|crujías|crujido|crújelas|crujes|crujiésemos|crujíamos|crujiros|crujámoste|crujidme|crujirla|crújanlo|crujáis|crujirían|crújale|crujás|crujiéndole|crujirlos|crujidlo|crujiéndote|crujirlas|crujámoslas|crujieron|crujieres
crustáceo	crustáceos
cruz	cruces
cruzada	cruzadas
cruzado	cruzados|cruzadas|cruzada
cruzar	cruzad|crúcese|cruzá|cruzan|cruzarnos|crúzame|cruzáremos|cruzando|cruzada|cruzaríamos|crúzate|cruzadles|cruzarían|cruzáramos|cruzándoos|crúcele|crucés|cruzaras|crucémoos|cruzado|cruzas|cruzándolas|cruzaros|crúzala|cruzadlas|cruce|cruzareis|crucémonos|crucémoslas|cruzadlo|cruzándote|crúzalo|crúceles|cruzarán|cruzabas|crúcenlas|cruzabais|cruza|cruzases|cruzarte|cruzarme|crúcelas|crúcense|crúceme|cruzarla|cruzándolo|crúcenme|cruzara|cruzaron|crúcelo|cruzó|crucen|cruzaste|crúcela|cruzase|cruzarse|crucémosles|cruzásemos|cruzarlos|crúzalos|cruzándole|cruzábamos|cruzadnos|cruzaréis|cruzares|cruzadle|crúcenos|cruzaseis|cruzará|cruzándose|cruzaremos|cruzarle|cruzándoles|cruzaos|crucémosla|crucémosle|crucémoste|cruzaran|cruzaban|cruzo|cruzadme|cruzarlo|crúzanos|crúcenle|crúcenlo|cruzadlos|crúcennos|crucéis|cruzarais|cruzaren|crúzale|cruzándola|crúzalas|cruces|cruzasen|crúcenlos|crúcelos|crúcenles|cruzándolos|crucemos|crúzales|cruzarles|cruzare|crúcenla|cruzaría|cruzás|cruzados|cruzasteis|cruzaba|cruzaríais|crucémoslos|cruzáis|cruzándonos|cruzamos|cruzándome|crucémoslo|cruzadla|cruzarás|cruzarías|cruzadas|cruzarlas|cruzaré|crucé
cráneo	cráneos
cráter	cráteres
crédulo	crédulos|crédula|crédulas
cría	crías
crítica	críticas
crítico	críticos|críticas|crítica
crónica	crónicas
crónico	crónicos|crónica|crónicas
crótalo	crótalos
cuaderno	cuadernos
cuadra	cuadras
cuadrado	cuadradas|cuadrada|cuadrados
cuadrafónico	cuadrafónica|cuadrafónicas|cuadrafónicos
cuadragésimo	cuadragésimas|cuadragésima|cuadragésimos
cuadrilátero	cuadriláteras|cuadrilátera|cuadriláteros
cuadro	cuadros
cuadruplicar	cuadruplicarla|cuadruplíquenles|cuadruplicarlas|cuadruplíqueme|cuadruplicándolas|cuadrupliques|cuadruplicadla|cuadruplicáramos|cuadruplíquenme|cuadruplicándola|cuadruplíquese|cuadruplicases|cuadruplicarme|cuadrupliquemos|cuadruplicada|cuadruplicó|cuadruplicásemos|cuadruplicándome|cuadruplicándolos|cuadruplican|cuadrupliquémoslos|cuadruplicasteis|cuadruplícales|cuadrupliqués|cuadruplíquense|cuadruplíquenlos|cuadruplicadles|cuadruplicareis|cuadruplicándoles|cuadruplicarás|cuadruplíqueles|cuadruplícalos|cuadruplicándole|cuadruplicadme|cuadrupliquen|cuadrupliquémosle|cuadruplíquenle|cuadruplicaros|cuadrupliquémosla|cuadrupliquémoslas|cuadruplicadle|cuadruplicándoos|cuadruplíquenlas|cuadruplicaréis|cuadruplicarles|cuadruplicadlas|cuadruplíquennos|cuadrupliquémoslo|cuadruplicando|cuadruplicamos|cuadruplicaríais|cuadruplíquenos|cuadruplicarías|cuadruplicadlos|cuadruplicaste|cuadrupliquémosles|cuadruplicasen|cuadruplicarte|cuadruplicará|cuadruplicaras|cuadruplicarían|cuadruplicase|cuadruplicás|cuadruplíquenlo|cuadruplicándonos|cuadruplicaremos|cuadruplicarán|cuadruplíquelos|cuadruplíquelo|cuadruplicadas|cuadruplicabas|cuadruplicaba|cuadruplicad|cuadruplicarnos|cuadruplicares|cuadruplicados|cuadrupliqué|cuadruplicaren|cuadrupliquémonos|cuadruplicarlos|cuadruplicaron|cuadruplica|cuadruplicaban|cuadruplicá|cuadruplicare|cuadruplíquela|cuadruplico|cuadruplicaran|cuadruplicado|cuadruplicaseis|cuadruplícalo|cuadrupliquéis|cuadruplicara|cuadruplíquenla|cuadrupliquémoos|cuadruplicándose|cuadruplicadnos|cuadruplícate|cuadruplicaos|cuadruplicaré|cuadruplicándolo|cuadruplique|cuadruplícalas|cuadruplicarse|cuadruplícanos|cuadruplícame|cuadruplicarlo|cuadruplicaría|cuadruplícala|cuadruplíquelas|cuadruplicas|cuadruplicaríamos|cuadruplicarais|cuadruplicándote|cuadruplicábamos|cuadruplicáremos|cuadruplicabais|cuadruplícale|cuadruplicadlo|cuadruplíquele|cuadruplicáis|cuadruplicarle|cuadrupliquémoste
cuadrángulo	cuadrángulos
cuadrúpedo	cuadrúpedos|cuadrúpeda|cuadrúpedas
cuajar	cuájese|cuajarais|cuajaros|cuajada|cuajase|cuajáis|cuajadme|cuajándole|cuájenle|cuajabais|cuajarán|cuajándote|cuajé|cuajá|cuajarse|cuajándonos|cuájenme|cuajémoslo|cuajando|cuajarás|cuajadnos|cuájelas|cuájala|cuajadlo|cuajaron|cuajaseis|cuájale|cuajándome|cuajadlas|cuajareis|cuajadles|cuajarían|cuajará|cuájame|cuajás|cuajara|cuajaras|cuájalos|cuajábamos|cuájanos|cuajéis|cuájalo|cuajasteis|cuajándoles|cuájeme|cuajarla|cuajáramos|cuajare|cuajemos|cuajémosles|cuajas|cuajarlo|cuajaste|cuájelo|cuájennos|cuajémoslas|cuajarle|cuajaríamos|cuajásemos|cuajándolo|cuajándolos|cuajarme|cuajes|cuájele|cuajáremos|cuajaba|cuajaré|cuajarnos|cuájela|cuájenles|cuájense|cuajad|cuaja|cuajémosla|cuajaban|cuajarías|cuajadla|cuajándose|cuajares|cuajó|cuájalas|cuajémosle|cuajabas|cuajen|cuajaría|cuajan|cuajaremos|cuajadle|cuájelos|cuájales|cuajo|cuajaran|cuajándoos|cuajases|cuajémoste|cuájate|cuájenlos|cuajarles|cuaje|cuajándolas|cuajémonos|cuájeles|cuajaréis|cuajamos|cuajémoslos|cuájenlas|cuajado|cuajados|cuajarlas|cuájenos|cuájenlo|cuajadas|cuajaren|cuajémoos|cuajés|cuajasen|cuajarte|cuájenla|cuajarlos|cuajaríais|cuajaos|cuajándola|cuajadlos
cualitativo	cualitativos|cualitativas|cualitativa
cuantificar	cuantificara|cuantifiquen|cuantifíquenlas|cuantificáramos|cuantificaren|cuantifiquémoos|cuantificaríamos|cuantificándose|cuantifícalas|cuantificaba|cuantifiquémosles|cuantifíquenla|cuantificaban|cuantificarla|cuantificaros|cuantificadles|cuantificarme|cuantificase|cuantificarlo|cuantificándolas|cuantificando|cuantifiquémoste|cuantificó|cuantificaste|cuantifícala|cuantificarais|cuantificabais|cuantificándola|cuantificándote|cuantificasteis|cuantificadnos|cuantifícalos|cuantificare|cuantificamos|cuantifican|cuantificarlos|cuantificadlas|cuantificaréis|cuantificaseis|cuantificadla|cuantificaríais|cuantificarte|cuantifiquémoslo|cuantifícame|cuantificado|cuantificaras|cuantifíquelas|cuantifico|cuantifique|cuantificarle|cuantifiquemos|cuantificas|cuantificadle|cuantifíquenos|cuantificándolos|cuantificadlos|cuantifíquele|cuantificásemos|cuantificás|cuantificarse|cuantificándoos|cuantifiquémosla|cuantifiquéis|cuantifíquenme|cuantificándome|cuantifíquenles|cuantificadlo|cuantifícalo|cuantificares|cuantificadas|cuantificará|cuantifíquenlo|cuantificad|cuantifiquémosle|cuantifícale|cuantificándole|cuantifíquelos|cuantificarán|cuantifica|cuantificasen|cuantifiquémoslas|cuantificabas|cuantifícanos|cuantificándonos|cuantificarles|cuantificada|cuantificarás|cuantificaré|cuantifiquémonos|cuantificábamos|cuantificarían|cuantificareis|cuantifíquennos|cuantificados|cuantificaran|cuantificadme|cuantificarías|cuantificándolo|cuantifiquémoslos|cuantifíqueme|cuantificáis|cuantificaos|cuantificarlas|cuantifícate|cuantifíquenlos|cuantifiqués|cuantificaremos|cuantificaría|cuantifíquelo|cuantifíquela|cuantifiques|cuantificándoles|cuantifícales|cuantifíquenle|cuantifíqueles|cuantifiqué|cuantificases|cuantificá|cuantificarnos|cuantifíquense|cuantificaron|cuantificáremos|cuantifíquese
cuantioso	cuantiosa|cuantiosas|cuantiosos
cuantitativo	cuantitativos|cuantitativa|cuantitativas
cuanto	cuantos|cuanta|cuantas
cuarentena	cuarentenas
cuaresma	cuaresmas
cuaresmal	cuaresmales
cuartel	cuarteles
cuarterón	cuarterones|cuarterona|cuarteronas
cuarteto	cuartetos
cuartilla	cuartillas
cuarto	cuarta|cuartas|cuartos
cuarzo	cuarzos
cuaternario	cuaternarias|cuaternaria|cuaternarios
cuatrillizo	cuatrillizos|cuatrillizas|cuatrilliza
cuatro	cuatros
cuba	cubas
cubano	cubanos|cubanas|cubana
cubierta	cubiertas
cubierto	cubiertas|cubiertos|cubierta
cubil	cubiles
cubilete	cubiletes
cubista	cubistas
cubo	cubos
cubrir	cubridlas|cubriendo|cubría|cubriéremos|cúbranlas|cubriéndoles|cubriéndonos|cubríamos|cubrirás|cubriéndote|cubriste|cubren|cubrirle|cúbrales|cubrieseis|cúbranla|cubriría|cúbralos|cubiertos|cubriera|cubrieren|cubrirnos|cubrirse|cubrirme|cubráis|cúbranlo|cúbralo|cubierto|cubriéndolos|cubrirían|cúbreles|cubrieran|cubran|cubra|cubriere|cubrid|cubriéramos|cúbrale|cubrámoos|cubrieses|cubrías|cubrían|cúbrete|cubrámosles|cubrámosle|cubrirán|cúbralas|cubrámoslo|cubierta|cubridlos|cubridlo|cúbrelo|cubrámosla|cubres|cúbrelas|cúbrannos|cubridla|cubrieron|cubrirlo|cubrámoslas|cubrás|cúbrela|cubriríais|cubriese|cubrió|cúbranse|cubrirías|cubriéndolas|cúbrala|cubridnos|cubriéndola|cúbrelos|cubridles|cubriereis|cubrámoslos|cubrís|cubramos|cubríos|cubriréis|cubriéndome|cúbranle|cubre|cúbranles|cubiertas|cubriré|cúbrame|cubridme|cubriros|cubrirá|cubrieras|cúbrele|cúbranlos|cubriesen|cubriéndolo|cubras|cubrámoste|cúbrase|cubrirla|cubrí|cubrirlos|cúbranos|cúbranme|cubriéndole|cubrimos|cubrirlas|cubrieres|cubristeis|cúbrenos|cubrirte|cúbreme|cubrierais|cubro|cubríais|cubriéndose|cubriremos|cubrirles|cubriéndoos|cubriésemos|cubriríamos|cubridle|cubrámonos
cubículo	cubículos
cucaracha	cucarachas
cuchara	cucharas
cucharada	cucharadas
cucharilla	cucharillas
cucharón	cucharones
cuchichear	cuchichéenlos|cuchicheadla|cuchicheabas|cuchichearía|cuchichéenla|cuchicheéis|cuchicheémoslas|cuchichea|cuchicheándoles|cuchichéelos|cuchicheá|cuchichearas|cuchichearemos|cuchicheás|cuchichease|cuchicheaba|cuchicheadle|cuchicheada|cuchichéalas|cuchicheémoste|cuchichearos|cuchicheado|cuchicheadnos|cuchicheadme|cuchichearnos|cuchichearían|cuchicheé|cuchichearlo|cuchichéenles|cuchichearla|cuchicheados|cuchicheándolos|cuchicheémoslo|cuchicheo|cuchichéenle|cuchicheadlos|cuchicheadlo|cuchichearías|cuchicheándome|cuchichearlas|cuchichéelo|cuchichéate|cuchicheen|cuchichéalo|cuchichéense|cuchicheasteis|cuchichéelas|cuchicheásemos|cuchicheáremos|cuchichéenme|cuchicheándole|cuchicheando|cuchichearen|cuchicheadlas|cuchichéalos|cuchichearon|cuchicheas|cuchichéele|cuchichearíais|cuchicheareis|cuchicheándoos|cuchicheadas|cuchichean|cuchichéela|cuchicheábamos|cuchicheándola|cuchichearais|cuchichéale|cuchicheémosles|cuchichéenlo|cuchicheaban|cuchicheés|cuchicheabais|cuchicheándote|cuchicheó|cuchichearéis|cuchicheándonos|cuchicheaste|cuchichearán|cuchichéanos|cuchichead|cuchicheándolas|cuchichearse|cuchichearan|cuchicheasen|cuchichearte|cuchichéales|cuchichéennos|cuchichéame|cuchichéenos|cuchicheándolo|cuchichearíamos|cuchichearme|cuchicheara|cuchicheáramos|cuchicheases|cuchicheémosle|cuchichearlos|cuchichearé|cuchicheadles|cuchichéeles|cuchicheemos|cuchicheares|cuchicheémosla|cuchicheémoslos|cuchichees|cuchicheare|cuchicheaseis|cuchichéala|cuchichéeme|cuchichearás|cuchicheará|cuchichéese|cuchichearles|cuchichee|cuchicheaos|cuchichearle|cuchicheáis|cuchicheémonos|cuchicheémoos|cuchichéenlas|cuchicheándose|cuchicheamos
cuchicheo	cuchicheos
cuchilla	cuchillas
cuchillada	cuchilladas
cuchillero	cuchilleros|cuchilleras|cuchillera
cuchillería	cuchillerías
cuchillo	cuchillos
cuco	cucos
cuello	cuellos
cuenca	cuencas
cuenco	cuencos
cuenta	cuentas
cuentista	cuentistas
cuento	cuentos
cuerda	cuerdas
cuerno	cuernos
cuero	cueros
cuerpo	cuerpos
cuervo	cuervos
cuesta	cuestas
cuestionar	cuestionadme|cuestionabas|cuestionases|cuestionaríais|cuestionare|cuestionarme|cuestionada|cuestionaros|cuestionarlas|cuestionémoste|cuestióneme|cuestióname|cuestionarlo|cuestionadla|cuestiónela|cuestionados|cuestionaréis|cuestionaba|cuestionaos|cuestionándose|cuestionarás|cuestionémoos|cuestionémosles|cuestionadlas|cuestionándola|cuestionásemos|cuestiónenle|cuestionaste|cuestionándoles|cuestiónalas|cuestionó|cuestionáis|cuestionemos|cuestiónele|cuestiónenla|cuestionarles|cuestionás|cuestiona|cuestionaríamos|cuestionémoslos|cuestionando|cuestionémoslas|cuestiónelo|cuestionáremos|cuestionas|cuestionaseis|cuestionémosle|cuestionaron|cuestionáramos|cuestiónelos|cuestiónelas|cuestiono|cuestioná|cuestiónenlo|cuestionándonos|cuestionamos|cuestionaré|cuestionad|cuestionarle|cuestionadle|cuestionabais|cuestionasen|cuestiónenme|cuestióneles|cuestionado|cuestiónate|cuestionan|cuestionaría|cuestionarían|cuestionen|cuestiónalo|cuestionara|cuestionarte|cuestionarlos|cuestionándote|cuestionéis|cuestionémosla|cuestiónala|cuestiónense|cuestionará|cuestiónales|cuestionándolo|cuestionémonos|cuestiónanos|cuestionadnos|cuestionaran|cuestiónese|cuestiónenles|cuestionándolas|cuestionarse|cuestiones|cuestionarais|cuestionadlo|cuestionareis|cuestionaremos|cuestionándome|cuestionábamos|cuestionándoos|cuestiónale|cuestiónenos|cuestionase|cuestionándole|cuestionasteis|cuestionarnos|cuestionaban|cuestionadas|cuestionaras|cuestionándolos|cuestiónennos|cuestionarla|cuestionés|cuestionadlos|cuestionarías|cuestiónenlos|cuestionares|cuestioné|cuestionadles|cuestionarán|cuestiónalos|cuestione|cuestiónenlas|cuestionaren|cuestionémoslo
cuestionario	cuestionarios
cueva	cuevas
cuidado	cuidados
cuidadoso	cuidadosos|cuidadosa|cuidadosas
cuidar	cuídeme|cuidarles|cuidando|cuídennos|cuidaren|cuidó|cuídenlo|cuídenlos|cuiden|cuidarle|cuidabais|cuidaremos|cuidá|cuidés|cuidándola|cuidadle|cuidadnos|cuidáis|cuídense|cuidas|cuidarte|cuidad|cuidándote|cuídenla|cuidaras|cuidada|cuidaran|cuidare|cuídelas|cuidémoslos|cuídenle|cuídenme|cuidarías|cuidarme|cuidadlos|cuídate|cuidémoste|cuidases|cuidándome|cuidados|cuidémoslo|cuide|cuídanos|cuídala|cuidásemos|cuidáremos|cuidasteis|cuídenlas|cuidándonos|cuidarlas|cuidadlas|cuidémonos|cuídenles|cuidándolo|cuidaba|cuídale|cuidaríais|cuidadles|cuidáramos|cuidaré|cuidemos|cuidaría|cuidándose|cuida|cuidémoos|cuides|cuidarla|cuidarás|cuidándoles|cuidás|cuidémoslas|cuídales|cuido|cuidabas|cuidaríamos|cuídelo|cuidaste|cuídalos|cuidaron|cuidarán|cuidaban|cuidarnos|cuidé|cuidado|cuidadas|cuidarlos|cuídeles|cuídese|cuidándole|cuidémosle|cuidadla|cuidara|cuidan|cuidaseis|cuidasen|cuidase|cuidadlo|cuidaros|cuídame|cuídalas|cuidarse|cuídenos|cuidándolas|cuidémosla|cuídele|cuidamos|cuidarais|cuidaos|cuidarlo|cuidándolos|cuidábamos|cuidará|cuidares|cuidaréis|cuidéis|cuidadme|cuidarían|cuídelos|cuidándoos|cuídalo|cuídela|cuidémosles|cuidareis
culata	culatas
culinario	culinarias|culinaria|culinarios
culminación	culminaciones
culminar	culminarles|culminabais|culminaremos|culminarás|culminases|culmínennos|culminándoos|culminamos|culminaran|culminó|culminándonos|culminarla|culmínate|culminadme|culminémoslo|culminábamos|culminémoste|culminaren|culmínela|culminares|culminémosle|culminarme|culmíname|culminaríamos|culminándolo|culminémosles|culmínenos|culminadas|culmínenme|culminarle|culminé|culminándolas|culminadles|culminasen|culminémoslas|culmines|culminado|culminá|culminaban|culminaré|culminarlos|culmínenlas|culminara|culminaron|culminarte|culminémosla|culmina|culminasteis|culmínenles|culminés|culminaros|culminaba|culmínele|culminándola|culmínelo|culmínala|culminaos|culmínales|culmináis|culminarías|culminándote|culminen|culminemos|culmíneles|culminarían|culminándoles|culminada|culmínalas|culminan|culminará|culmínelos|culmine|culminase|culmináremos|culminarlas|culminándolos|culmínese|culminarais|culminarlo|culmíneme|culmínenlos|culminabas|culminadlos|culminémonos|culminando|culmínenlo|culminarán|culminadla|culminéis|culminás|culmináramos|culminémoos|culminaréis|culmínalos|culminándose|culminarse|culmínalo|culminadnos|culmínale|culminaseis|culminados|culminásemos|culminándome|culminadle|culmínenla|culminaría|culmínanos|culmínense|culminadlas|culminaras|culminare|culminadlo|culmino|culminarnos|culminaste|culminémoslos|culminándole|culmínelas|culmínenle|culminaríais|culminas|culminareis|culminad
culpa	culpas
culpabilidad	culpabilidades
culpable	culpables
cultivador	cultivadores|cultivadora|cultivadoras
cultivar	cultivarte|cultivadlo|cultivaras|cultivándoos|cultivémoste|cultivarse|cultívenos|cultívelo|cultívalos|cultivándolas|cultivémosles|cultivaste|cultívela|cultívenles|cultivémoos|cultivémoslas|cultivaré|cultivémoslos|cultívale|cultivéis|cultivabas|cultívelos|cultívenlas|cultivamos|cultívales|cultívalo|cultivándolos|cultivareis|cultívelas|cultívense|cultivaréis|cultivadlos|cultivémonos|cultivás|cultivases|cultíveles|cultivémosle|cultiva|cultivaron|cultívame|cultívenle|cultivadle|cultívala|cultivaría|cultivados|cultivarían|cultivaremos|cultivarlos|cultivando|cultivarlas|cultivarais|cultivarles|cultivándose|cultivara|cultives|cultivé|cultivarlo|cultivarás|cultiváramos|cultivándome|cultivarle|cultivaos|cultiváremos|cultivarme|cultivadnos|cultivábamos|cultivaríais|cultivándola|cultivándole|cultivare|cultivándonos|cultivaran|cultivarla|cultivaba|cultivadles|cultivá|cultívese|cultivado|cultivaren|cultivadas|cultiven|cultivadla|cultivada|cultivó|cultivémoslo|cultivemos|cultivarnos|cultívalas|cultivándoles|cultivan|cultive|cultívanos|cultivarán|cultivaban|cultívenla|cultívenme|cultivasen|cultivas|cultívele|cultivasteis|cultivadlas|cultivadme|cultivase|cultivaros|cultivándolo|cultiváis|cultivásemos|cultivémosla|cultívenlo|cultivo|cultivaríamos|cultivés|cultíveme|cultivaseis|cultivará|cultivabais|cultívate|cultivad|cultívenlos|cultivándote|cultívennos|cultivares|cultivarías
cultivo	cultivos
culto	cultas|culta|cultos
cultura	culturas
cultural	culturales
cumbre	cumbres
cumplido	cumplidos|cumplidas|cumplida
cumplimentar	cumplimentaría|cumplimentémonos|cumpliméntenos|cumpliméntele|cumplimentabas|cumplimentabais|cumplimentarles|cumpliméntame|cumplimentarás|cumplimentadlos|cumplimentarnos|cumplimentad|cumpliméntelo|cumplimentaros|cumpliméntense|cumplimentada|cumpliméntennos|cumpliméntalas|cumplimentarla|cumplimentasen|cumpliméntenlos|cumplimentadla|cumplimentado|cumplimentareis|cumplimentas|cumplimentémosles|cumpliménteles|cumplimentémoslos|cumplimentarán|cumplimentaremos|cumplimentaba|cumplimentadnos|cumplimentaseis|cumpliménteme|cumplimentarías|cumplimentémoos|cumplimentadme|cumplimentarme|cumplimentarle|cumplimentarais|cumplimentaban|cumplimentadles|cumplimenten|cumplimentásemos|cumplimentamos|cumplimentará|cumplimentábamos|cumplimentaré|cumplimentémoslo|cumpliméntenlo|cumplimentares|cumplimente|cumplimentes|cumpliméntalo|cumplimentándoles|cumplimentáramos|cumplimentándote|cumplimentarlas|cumpliméntenles|cumplimentándoos|cumplimentan|cumplimentaríais|cumplimentando|cumpliméntale|cumplimentándolo|cumplimentéis|cumplimentémoste|cumplimentarlo|cumplimenté|cumpliméntales|cumplimentaren|cumplimentés|cumplimentare|cumplimentase|cumplimentadlo|cumplimentándome|cumplimentáis|cumplimentemos|cumplimentémosla|cumplimentémoslas|cumplimentándole|cumplimentaron|cumplimentadas|cumplimentándola|cumpliméntala|cumplimentarse|cumplimentaríamos|cumplimentándolas|cumpliméntelos|cumplimentaste|cumpliméntenla|cumplimenta|cumpliméntelas|cumpliméntenle|cumplimentáremos|cumplimentases|cumplimentándonos|cumplimentarían|cumpliméntalos|cumplimentarlos|cumplimentadlas|cumpliméntate|cumpliméntenme|cumplimentados|cumpliméntese|cumplimentadle|cumplimentándolos|cumpliméntela|cumplimentémosle|cumplimentándose|cumplimentás|cumplimentasteis|cumplimento|cumplimentá|cumplimentó|cumplimentara|cumplimentaras|cumplimentaos|cumplimentarte|cumpliméntanos|cumplimentaréis|cumplimentaran|cumpliméntenlas
cumplimiento	cumplimientos
cumplir	cumplámosla|cumplámonos|cumplirme|cumple|cúmplanlos|cumplimos|cumplidle|cumplía|cumpliendo|cumplió|cumpliéndote|cumpliese|cumplíamos|cúmplale|cúmplelas|cumplidos|cúmplanos|cumpliéndose|cumpliéndoos|cúmplalos|cumplen|cumples|cúmplalo|cúmplame|cumplid|cumpliríais|cumpliéndola|cumplirte|cumplieran|cumpliéndonos|cumplieren|cumpliréis|cumplidla|cúmplanla|cumplieseis|cumpliros|cúmplela|cumpláis|cumplirse|cumpliría|cumplamos|cumplirán|cumplirlo|cúmplanse|cumplirlos|cumplieras|cumplíais|cumpliereis|cumplámoste|cumplisteis|cumplierais|cúmpleles|cumpliesen|cúmplanme|cumpliéndolos|cumplidme|cúmplalas|cumpliésemos|cumplirían|cúmplales|cúmplannos|cumpliremos|cumplís|cumplida|cumplámoslos|cumplámoslo|cumpliéramos|cúmplelo|cumplirnos|cumpliré|cumplirá|cumplidas|cumplidlas|cúmplanles|cumplirlas|cumplieron|cumplirles|cumplidlo|cumplámoos|cumplidnos|cúmplenos|cúmpleme|cumplámosle|cumpliéndoles|cumplieres|cumpliera|cumpliste|cumplidles|cumplas|cumplidlos|cumplirla|cumplan|cúmplelos|cúmplele|cumpliere|cumplo|cumplirle|cumpliéndolo|cúmplala|cumplías|cumplido|cumplámoslas|cúmplanlo|cumpliéremos|cumpliéndole|cumplíos|cumpla|cumplámosles|cumpliéndolas|cúmplanlas|cumpliéndome|cumplí|cúmplete|cumplirías|cumplieses|cumplirás|cúmplanle|cúmplase|cumpliríamos|cumplás|cumplían
cumulativo	cumulativa|cumulativas|cumulativos
cuna	cunas
cuneta	cunetas
cuota	cuotas
cupo	cupos
cupé	cupés
cupón	cupones
cura	curas
curable	curables
curación	curaciones
